DNA_ID,field_ID,genotype,group,row,end?,condition,germ,yellow,flowering,final,diameter,direction,height,leaf_num,ax_heads,notes
D388,SUN_C_40,elf3,C,SUN_C,middle,sun,06_22_2019,08_19_2019,08_20_2019,08_26_2019,14,65,88.5,33,NA,NA
D389,SUN_C_45,elf3,C,SUN_C,middle,sun,06_22_2019,08_16_2019,08_18_2019,08_24_2019,15.2,54,83.4,32,5,NA
D390,SUN_C_46,elf3,C,SUN_C,middle,sun,06_22_2019,08_16_2019,08_18_2019,08_24_2019,16.5,UP,83.6,38,4,NA
D391,SUN_C_47,elf3,C,SUN_C,end,sun,06_22_2019,08_16_2019,08_18_2019,08_24_2019,16.3,64,84,38,9,NA
D392,SUN_C_48,elf3,C,SUN_C,end,sun,06_22_2019,08_16_2019,08_18_2019,08_24_2019,16.4,112,80.3,37,3,NA
D393,SUN_C_01,WT,C,SUN_C,end,sun,06_21_2019,08_16_2019,08_18_2019,08_24_2019,18.1,65,84.4,34,2,NA
D394,SUN_C_02,WT,C,SUN_C,end,sun,06_22_2019,08_14_2019,08_15_2019,08_23_2019,15,50,76.2,30,8,NA
D395,SUN_C_03,WT,C,SUN_C,middle,sun,06_22_2019,08_19_2019,08_21_2019,08_27_2019,10.4,61,97,29,2,NA
D396,SUN_C_04,WT,C,SUN_C,middle,sun,06_22_2019,08_14_2019,08_16_2019,08_22_2019,12.5,UP,73.9,28,5,NA
D397,SUN_C_09,WT,C,SUN_C,middle,sun,06_22_2019,NA,NA,NA,NA,NA,NA,NA,NA,NA
D398,SUN_C_10,WT,C,SUN_C,middle,sun,06_22_2019,08_12_2019,08_14_2019,08_19_2019,13,123,64.8,30,7,bottom of stem chewed
D399,SUN_C_11,WT,C,SUN_C,middle,sun,06_22_2019,NA,NA,NA,NA,NA,NA,NA,NA,NA
D400,SUN_C_12,WT,C,SUN_C,middle,sun,06_22_2019,08_25_2019,08_27_2019,NA,NA,NA,76.7,28,0,thin
D401,SUN_C_17,WT,C,SUN_C,middle,sun,06_22_2019,08_16_2019,08_23_2019,08_25_2019,13.6,66,93.8,33,0,NA
D402,SUN_C_18,WT,C,SUN_C,middle,sun,06_22_2019,08_18_2019,08_19_2019,08_25_2019,16.3,330,80.3,32,2,NA
D403,SUN_C_19,WT,C,SUN_C,middle,sun,06_22_2019,08_14_2019,08_16_2019,08_21_2019,11.3,41,77,29,4,NA
D404,SUN_C_20,WT,C,SUN_C,middle,sun,06_22_2019,08_14_2019,08_16_2019,08_21_2019,17,UP,79.1,29,2,NA
D405,SUN_C_25,WT,C,SUN_C,middle,sun,06_22_2019,08_14_2019,08_16_2019,08_22_2019,17,105,83.7,28,2,NA
D406,SUN_C_26,WT,C,SUN_C,middle,sun,06_22_2019,08_12_2019,08_15_2019,08_21_2019,15.4,131,83.6,30,4,NA
D407,SUN_C_27,WT,C,SUN_C,middle,sun,06_22_2019,08_14_2019,08_15_2019,08_22_2019,18,UP,88.9,37,6,NA
D408,SUN_C_28,WT,C,SUN_C,middle,sun,06_22_2019,08_16_2019,08_18_2019,08_24_2019,15.7,48,100.2,41,7,NA
D409,SUN_C_33,WT,C,SUN_C,middle,sun,06_22_2019,08_13_2019,08_15_2019,08_22_2019,19.8,UP,79.1,31,5,NA
D410,SUN_C_34,WT,C,SUN_C,middle,sun,06_22_2019,08_14_2019,08_15_2019,08_22_2019,17.5,UP,81,34,3,NA
D411,SUN_C_35,WT,C,SUN_C,middle,sun,06_22_2019,08_13_2019,08_17_2019,08_22_2019,17.1,94,82.8,31,4,NA
D412,SUN_C_36,WT,C,SUN_C,middle,sun,06_22_2019,08_16_2019,08_18_2019,08_25_2019,16.9,UP,86.6,28,3,NA
D413,SUN_C_41,WT,C,SUN_C,middle,sun,06_22_2019,NA,NA,NA,NA,NA,NA,NA,NA,no apical head
D414,SUN_C_42,WT,C,SUN_C,middle,sun,06_22_2019,08_12_2019,08_15_2019,08_21_2019,19.6,16,79,33,4,NA
D415,SUN_C_43,WT,C,SUN_C,middle,sun,06_22_2019,08_15_2019,08_17_2019,08_24_2019,18.9,89,87.2,32,1,NA
D416,SUN_C_44,WT,C,SUN_C,middle,sun,06_22_2019,08_14_2019,08_16_2019,08_22_2019,16.8,32,82.2,29,3,NA
D417,SUN_D_05,WT,D,SUN_D,middle,sun,07_03_2019,08_25_2019,08_28_2019,09_02_2019,12.2,99,NA,NA,NA,NA
D418,SH_D_05,WT,D,SH_D,middle,shade,07_03_2019,08_26_2019,08_28_2019,09_03_2019,12.5,63,NA,NA,NA,NA
D419,SUN_D_06,WT,D,SUN_D,middle,sun,07_04_2019,08_24_2019,08_27_2019,09_02_2019,14.8,73,NA,NA,NA,NA
D420,SUN_D_07,WT,D,SUN_D,middle,sun,07_04_2019,08_26_2019,08_28_2019,09_01_2019,10.3,132,NA,NA,NA,burn
D421,SH_D_06,WT,D,SH_D,middle,shade,07_04_2019,08_29_2019,09_01_2019,NA,NA,76,NA,NA,NA,bagged
D422,SUN_D_08,WT,D,SUN_D,middle,sun,07_04_2019,08_27_2019,08_30_2019,NA,NA,NA,NA,NA,NA,burn
D423,SUN_D_13,WT,D,SUN_D,middle,sun,07_04_2019,08_28_2019,08_29_2019,09_02_2019,NA,83,NA,NA,NA,burned
D424,SH_D_07,WT,D,SH_D,middle,shade,07_04_2019,08_25_2019,08_27_2019,09_03_2019,12.3,25,NA,NA,NA,NA
D425,SH_D_08,WT,D,SH_D,middle,shade,07_04_2019,08_23_2019,08_25_2019,08_31_2019,NA,128,NA,NA,NA,NA
D426,SUN_D_14,WT,D,SUN_D,middle,sun,07_04_2019,08_27_2019,08_29_2019,NA,NA,59,NA,NA,NA,burned
D427,SH_D_13,WT,D,SH_D,middle,shade,07_04_2019,08_26_2019,08_27_2019,09_03_2019,11.2,53,NA,NA,NA,NA
D428,SH_D_14,WT,D,SH_D,middle,shade,07_04_2019,08_25_2019,08_27_2019,09_03_2019,13.1,17,NA,NA,NA,NA
D429,SUN_D_15,WT,D,SUN_D,middle,sun,07_04_2019,08_28_2019,08_29_2019,09_02_2019,7.3,80,NA,NA,NA,burned
D430,SUN_D_16,WT,D,SUN_D,middle,sun,07_04_2019,08_28_2019,08_29_2019,NA,NA,NA,NA,NA,NA,cut during flowering
D431,SH_D_16,WT,D,SH_D,middle,shade,07_04_2019,08_24_2019,08_27_2019,09_01_2019,11.7,6,NA,NA,NA,NA
D432,SUN_D_01,elf3,D,SUN_D,end,sun,07_03_2019,08_27_2019,08_29_2019,09_02_2019,15,94,NA,NA,NA,NA
D433,SH_D_01,elf3,D,SH_D,end,shade,07_03_2019,08_27_2019,08_28_2019,09_03_2019,13.8,54,NA,NA,NA,NA
D434,SH_D_02,elf3,D,SH_D,end,shade,07_03_2019,08_28_2019,08_29_2019,09_04_2019,,80,NA,NA,NA,NA
D435,SUN_D_02,elf3,D,SUN_D,end,sun,07_03_2019,08_26_2019,08_28_2019,09_01_2019,8.5,98,NA,NA,NA,NA
D437,SH_D_03,elf3,D,SH_D,middle,shade,07_03_2019,08_26_2019,08_27_2019,09_02_2019,11.6,89,NA,NA,NA,NA
D438,SUN_D_04,elf3,D,SUN_D,middle,sun,07_03_2019,08_26_2019,08_28_2019,09_02_2019,12.7,221,NA,NA,NA,NA
D439,SH_D_04,elf3,D,SH_D,middle,shade,07_03_2019,08_23_2019,08_26_2019,09_01_2019,14.4,61,NA,NA,NA,NA
D440,SUN_D_09,elf3,D,SUN_D,middle,sun,07_03_2019,08_29_2019,08_30_2019,NA,NA,130,NA,NA,NA,bagged
D441,SH_D_09,elf3,D,SH_D,middle,shade,07_03_2019,08_22_2019,08_23_2019,08_28_2019,7,66,NA,NA,NA,NA
D442,SH_D_10,elf3,D,SH_D,middle,shade,07_03_2019,08_24_2019,08_26_2019,09_01_2019,13.3,78,NA,NA,NA,NA
D443,SUN_D_10,elf3,D,SUN_D,middle,sun,07_03_2019,08_29_2019,08_30_2019,09_05_2019,NA,81,NA,NA,NA,NA
D444,SH_D_11,elf3,D,SH_D,middle,shade,07_03_2019,08_26_2019,08_27_2019,09_02_2019,12.8,71,NA,NA,NA,NA
D445,SH_D_12,elf3,D,SH_D,middle,shade,07_04_2019,08_25_2019,08_28_2019,09_03_2019,13.7,0,NA,NA,NA,NA
D446,SUN_D_11,elf3,D,SUN_D,middle,sun,07_04_2019,08_29_2019,08_30_2019,09_05_2019,NA,107,NA,NA,NA,burned
D447,SH_D_17,elf3,D,SH_D,middle,shade,07_04_2019,08_23_2019,08_25_2019,08_31_2019,15,106,NA,NA,NA,NA
D448,SH_D_18,elf3,D,SH_D,middle,shade,07_04_2019,08_25_2019,08_27_2019,NA,NA,174,NA,NA,NA,NA
D449,SUN_D_12,elf3,D,SUN_D,middle,sun,07_04_2019,08_29_2019,08_30_2019,09_06_2019,NA,51,NA,NA,NA,burned
D451,SH_D_19,elf3,D,SH_D,end,shade,07_04_2019,08_25_2019,08_27_2019,NA,NA,32,NA,NA,NA,NA
D452,SUN_D_18,elf3,D,SUN_D,end,sun,07_04_2019,08_27_2019,08_29_2019,NA,NA,UP,NA,NA,NA,NA
D453,SUN_D_19,elf3,D,SUN_D,end,sun,07_04_2019,08_26_2019,08_27_2019,NA,NA,UP,NA,NA,NA,NA
D454,SH_D_20,elf3,D,SH_D,end,shade,07_04_2019,08_24_2019,08_26_2019,08_31_2019,14.5,115,NA,NA,NA,NA
NA,SH_A_34,NA,D,SH_A,middle,shade,NA,NA,NA,NA,NA,NA,NA,NA,NA,dead
NA,SH_D_15,NA,D,SH_D,middle,shade,NA,NA,NA,NA,NA,NA,NA,NA,NA,dead
NA,SUN_D_03,NA,D,SUN_D,middle,sun,07_03_2019,08_30_2019,NA,NA,NA,NA,NA,NA,NA,ugly
NA,SUN_D_17,NA,D,SUN_D,middle,sun,07_04_2019,08_30_2019,NA,NA,NA,NA,NA,NA,NA,ugly
